Id,SalePrice
1461,128414.87
1462,136345.23
1463,188674.34
1464,191649.02
1465,184647.39
1466,182717.7
1467,186784.06
1468,174532.73
1469,173780.19
1470,116927.21
1471,196338.28
1472,95470.55
1473,107198.984
1474,148805.55
1475,131211.94
1476,413503.06
1477,258159.66
1478,306750.88
1479,305390.1
1480,466543.25
1481,343193.7
1482,202942.5
1483,193121.69
1484,176417.9
1485,175507.1
1486,200746.66
1487,341602.75
1488,222417.1
1489,192493.12
1490,224995.23
1491,200136.75
1492,100013.234
1493,180823.3
1494,290118.3
1495,291826.4
1496,233038.02
1497,194748.2
1498,156616.6
1499,155347.31
1500,157401.33
1501,175246.55
1502,160827.8
1503,305625.16
1504,241201.58
1505,223063.58
1506,200559.05
1507,215131.67
1508,214255.33
1509,167915.39
1510,149438.5
1511,143259.05
1512,175268.89
1513,147264.62
1514,192905.64
1515,191260.44
1516,156620.38
1517,153763.27
1518,132056.39
1519,232735.25
1520,137439.81
1521,138489.34
1522,166261.28
1523,114021.49
1524,126610.12
1525,122880.195
1526,121690.05
1527,105959.016
1528,139674.9
1529,148169.25
1530,186180.25
1531,123883.32
1532,105964.54
1533,147587.3
1534,123124.79
1535,159222.53
1536,113568.99
1537,78664.836
1538,163510.12
1539,209956.44
1540,99913.21
1541,162375.25
1542,144621.19
1543,224279.12
1544,75781.9
1545,114207.5
1546,128450.93
1547,139252.67
1548,142795.8
1549,114879.336
1550,145951.53
1551,114754.39
1552,124027.75
1553,123844.69
1554,115878.56
1555,185515.8
1556,88554.37
1557,141437.34
1558,91682.68
1559,92970.74
1560,130480.13
1561,159460.12
1562,135872.27
1563,127913.164
1564,155046.64
1565,149188.42
1566,289324.3
1567,67329.65
1568,250486.6
1569,159138.55
1570,137884.77
1571,123650.61
1572,155302.4
1573,247867.1
1574,105372.06
1575,224471.1
1576,233364.05
1577,195788.75
1578,149256.58
1579,144518.25
1580,200027.95
1581,162482.47
1582,132767.58
1583,331764.75
1584,236705.08
1585,141804.92
1586,70538.64
1587,99895.07
1588,156001.0
1589,90228.96
1590,133744.23
1591,100842.65
1592,124444.38
1593,121117.8
1594,129948.8
1595,134506.22
1596,263323.22
1597,185538.95
1598,209885.69
1599,170654.19
1600,170739.83
1601,80594.02
1602,119429.15
1603,87771.62
1604,272319.06
1605,263112.34
1606,157763.78
1607,173463.92
1608,213845.84
1609,191204.9
1610,153278.22
1611,141918.39
1612,159214.17
1613,163093.28
1614,119847.555
1615,91024.766
1616,80232.25
1617,97953.34
1618,131685.27
1619,131755.5
1620,148944.1
1621,130541.74
1622,150180.92
1623,277327.53
1624,225432.72
1625,118426.76
1626,178148.3
1627,192555.5
1628,300333.9
1629,185449.62
1630,355735.44
1631,214261.58
1632,241221.81
1633,181344.25
1634,190185.1
1635,180776.3
1636,155640.1
1637,180649.47
1638,205187.83
1639,185798.86
1640,257099.86
1641,188556.38
1642,239693.86
1643,226507.66
1644,234303.45
1645,188211.89
1646,151608.48
1647,144771.38
1648,139685.1
1649,138289.2
1650,113795.34
1651,127454.86
1652,99157.42
1653,109344.16
1654,145602.61
1655,146243.36
1656,145135.42
1657,152566.73
1658,147471.64
1659,133839.5
1660,161489.0
1661,446391.7
1662,413578.62
1663,400350.9
1664,499114.56
1665,295646.66
1666,290549.03
1667,396432.22
1668,342675.78
1669,308872.53
1670,377277.66
1671,262691.34
1672,420688.12
1673,304768.28
1674,247897.02
1675,185861.34
1676,188322.38
1677,201120.52
1678,469807.94
1679,385814.0
1680,350649.5
1681,258379.83
1682,290080.78
1683,184654.78
1684,177571.33
1685,173815.1
1686,175033.89
1687,168157.2
1688,192573.73
1689,193846.64
1690,194155.67
1691,175951.73
1692,284370.0
1693,168057.77
1694,183744.6
1695,176810.69
1696,287760.75
1697,177954.0
1698,380828.12
1699,326352.84
1700,241050.78
1701,256967.97
1702,190384.44
1703,262700.03
1704,291334.97
1705,240047.03
1706,433161.16
1707,213212.3
1708,198791.67
1709,236716.12
1710,207725.1
1711,266788.84
1712,259160.25
1713,266491.56
1714,233369.53
1715,207754.8
1716,170928.61
1717,165045.64
1718,141103.64
1719,209508.84
1720,243323.95
1721,160990.97
1722,129838.74
1723,159324.5
1724,209750.61
1725,233165.53
1726,183739.48
1727,169865.78
1728,186392.22
1729,167730.98
1730,178515.6
1731,123587.84
1732,124896.336
1733,120316.69
1734,121127.195
1735,134759.31
1736,122064.734
1737,345690.5
